Time	CellId	RNTI	BWPId	SINR(dB)
0.489071	1	1	0	37.3904
0.490071	1	1	0	37.3904
0.491071	1	1	0	37.3904
0.492071	1	1	0	37.3904
0.493071	1	1	0	37.3904
0.494071	1	1	0	37.3904
0.495071	1	1	0	37.3904
0.496071	1	1	0	37.3904
0.497071	1	1	0	37.3904
0.498071	1	1	0	37.3904
0.499071	1	1	0	37.3904
0.500071	1	1	0	37.3904
0.501071	1	1	0	37.3904
0.502071	1	1	0	37.3904
0.503071	1	1	0	37.3904
0.504071	1	1	0	37.3904
0.505071	1	1	0	37.3904
0.506071	1	1	0	37.3904
0.507071	1	1	0	37.3904
0.508071	1	1	0	37.3904
0.509071	1	1	0	37.3904
0.510071	1	1	0	37.3904
0.511071	1	1	0	37.3904
0.512071	1	1	0	37.3904
0.513071	1	1	0	37.3904
0.514071	1	1	0	37.3904
0.515071	1	1	0	37.3904
0.516071	1	1	0	56.6927
0.517071	1	1	0	56.6927
0.518071	1	1	0	56.6927
0.519071	1	1	0	56.6927
0.520071	1	1	0	56.6927
0.521071	1	1	0	56.6927
0.522071	1	1	0	56.6927
0.523071	1	1	0	56.6927
0.524071	1	1	0	56.6927
0.525071	1	1	0	56.6927
0.526071	1	1	0	56.6927
0.527071	1	1	0	56.6927
0.528071	1	1	0	56.6927
0.529071	1	1	0	56.6927
0.530071	1	1	0	56.6927
0.531071	1	1	0	56.6927
0.532071	1	1	0	56.6927
0.533071	1	1	0	56.6927
0.534071	1	1	0	56.6927
0.535071	1	1	0	56.6927
0.536071	1	1	0	56.6927
0.537071	1	1	0	56.6927
0.538071	1	1	0	56.6927
0.539071	1	1	0	56.6927
0.540071	1	1	0	56.6927
0.541071	1	1	0	56.6927
0.542071	1	1	0	56.6927
0.543071	1	1	0	56.6927
0.544071	1	1	0	56.6927
0.545071	1	1	0	56.6927
0.546071	1	1	0	56.6927
0.547071	1	1	0	56.6927
0.548071	1	1	0	56.6927
0.549071	1	1	0	56.6927
0.550071	1	1	0	56.6927
0.551071	1	1	0	56.6927
0.552071	1	1	0	56.6927
0.553071	1	1	0	56.6927
0.554071	1	1	0	56.6927
0.555071	1	1	0	56.6927
0.556071	1	1	0	56.6927
0.557071	1	1	0	56.6927
0.558071	1	1	0	56.6927
0.559071	1	1	0	56.6927
0.560071	1	1	0	56.6927
0.561071	1	1	0	56.6927
0.562071	1	1	0	56.6927
0.563071	1	1	0	56.6927
0.564071	1	1	0	56.6927
0.565071	1	1	0	56.6927
0.566071	1	1	0	56.6927
0.567071	1	1	0	56.6927
0.568071	1	1	0	56.6927
0.569071	1	1	0	56.6927
0.570071	1	1	0	56.6927
0.571071	1	1	0	56.6927
0.572071	1	1	0	56.6927
0.573071	1	1	0	56.6927
0.574071	1	1	0	56.6927
0.575071	1	1	0	56.6927
0.576071	1	1	0	56.6927
0.577071	1	1	0	56.6927
0.578071	1	1	0	56.6927
0.579071	1	1	0	56.6927
0.580071	1	1	0	56.6927
0.581071	1	1	0	56.6927
0.582071	1	1	0	56.6927
0.583071	1	1	0	56.6927
0.584071	1	1	0	56.6927
0.585071	1	1	0	56.6927
0.586071	1	1	0	56.6927
0.587071	1	1	0	56.6927
0.588071	1	1	0	56.6927
0.589071	1	1	0	56.6927
0.590071	1	1	0	56.6927
0.591071	1	1	0	56.6927
0.592071	1	1	0	56.6927
0.593071	1	1	0	56.6927
0.594071	1	1	0	56.6927
0.595071	1	1	0	56.6927
0.596071	1	1	0	56.6927
0.597071	1	1	0	56.6927
0.598071	1	1	0	56.6927
0.599071	1	1	0	56.6927
0.600071	1	1	0	56.6927
0.601071	1	1	0	56.6927
0.602071	1	1	0	56.6927
0.603071	1	1	0	56.6927
0.604071	1	1	0	56.6927
0.605071	1	1	0	56.6927
0.606071	1	1	0	56.6927
0.607071	1	1	0	56.6927
0.608071	1	1	0	56.6927
0.609071	1	1	0	56.6927
0.610071	1	1	0	56.6927
0.611071	1	1	0	56.6927
0.612071	1	1	0	56.6927
0.613071	1	1	0	56.6927
0.614071	1	1	0	56.6927
0.615071	1	1	0	56.6927
0.616071	1	1	0	47.8844
0.617071	1	1	0	47.8844
0.618071	1	1	0	47.8844
0.619071	1	1	0	47.8844
0.620071	1	1	0	47.8844
0.621071	1	1	0	47.8844
0.622071	1	1	0	47.8844
0.623071	1	1	0	47.8844
0.624071	1	1	0	47.8844
0.625071	1	1	0	47.8844
0.626071	1	1	0	47.8844
0.627071	1	1	0	47.8844
0.628071	1	1	0	47.8844
0.629071	1	1	0	47.8844
0.630071	1	1	0	47.8844
0.631071	1	1	0	47.8844
0.632071	1	1	0	47.8844
0.633071	1	1	0	47.8844
0.634071	1	1	0	47.8844
0.635071	1	1	0	47.8844
0.636071	1	1	0	47.8844
0.637071	1	1	0	47.8844
0.638071	1	1	0	47.8844
0.639071	1	1	0	47.8844
0.640071	1	1	0	47.8844
0.641071	1	1	0	47.8844
0.642071	1	1	0	47.8844
0.643071	1	1	0	47.8844
0.644071	1	1	0	47.8844
0.645071	1	1	0	47.8844
0.646071	1	1	0	47.8844
0.647071	1	1	0	47.8844
0.648071	1	1	0	47.8844
0.649071	1	1	0	47.8844
0.650071	1	1	0	47.8844
0.651071	1	1	0	47.8844
0.652071	1	1	0	47.8844
0.653071	1	1	0	47.8844
0.654071	1	1	0	47.8844
0.655071	1	1	0	47.8844
0.656071	1	1	0	47.8844
0.657071	1	1	0	47.8844
0.658071	1	1	0	47.8844
0.659071	1	1	0	47.8844
0.660071	1	1	0	47.8844
0.661071	1	1	0	47.8844
0.662071	1	1	0	47.8844
0.663071	1	1	0	47.8844
0.664071	1	1	0	47.8844
0.665071	1	1	0	47.8844
0.666071	1	1	0	47.8844
0.667071	1	1	0	47.8844
0.668071	1	1	0	47.8844
0.669071	1	1	0	47.8844
0.670071	1	1	0	47.8844
0.671071	1	1	0	47.8844
0.672071	1	1	0	47.8844
0.673071	1	1	0	47.8844
0.674071	1	1	0	47.8844
0.675071	1	1	0	47.8844
0.676071	1	1	0	47.8844
0.677071	1	1	0	47.8844
0.678071	1	1	0	47.8844
0.679071	1	1	0	47.8844
0.680071	1	1	0	47.8844
0.681071	1	1	0	47.8844
0.682071	1	1	0	47.8844
0.683071	1	1	0	47.8844
0.684071	1	1	0	47.8844
0.685071	1	1	0	47.8844
0.686071	1	1	0	47.8844
0.687071	1	1	0	47.8844
0.688071	1	1	0	47.8844
0.689071	1	1	0	47.8844
0.690071	1	1	0	47.8844
0.691071	1	1	0	47.8844
0.692071	1	1	0	47.8844
0.693071	1	1	0	47.8844
0.694071	1	1	0	47.8844
0.695071	1	1	0	47.8844
0.696071	1	1	0	47.8844
0.697071	1	1	0	47.8844
0.698071	1	1	0	47.8844
0.699071	1	1	0	47.8844
0.700071	1	1	0	47.8844
0.701071	1	1	0	47.8844
0.702071	1	1	0	47.8844
0.703071	1	1	0	47.8844
0.704071	1	1	0	47.8844
0.705071	1	1	0	47.8844
0.706071	1	1	0	47.8844
0.707071	1	1	0	47.8844
0.708071	1	1	0	47.8844
0.709071	1	1	0	47.8844
0.710071	1	1	0	47.8844
0.711071	1	1	0	47.8844
0.712071	1	1	0	47.8844
0.713071	1	1	0	47.8844
0.714071	1	1	0	47.8844
0.715071	1	1	0	47.8844
0.716071	1	1	0	47.8844
0.717071	1	1	0	43.5452
0.718071	1	1	0	43.5452
0.719071	1	1	0	43.5452
0.720071	1	1	0	43.5452
0.721071	1	1	0	43.5452
0.722071	1	1	0	43.5452
0.723071	1	1	0	43.5452
0.724071	1	1	0	43.5452
0.725071	1	1	0	43.5452
0.726071	1	1	0	43.5452
0.727071	1	1	0	43.5452
0.728071	1	1	0	43.5452
0.729071	1	1	0	43.5452
0.730071	1	1	0	43.5452
0.731071	1	1	0	43.5452
0.732071	1	1	0	43.5452
0.733071	1	1	0	43.5452
0.734071	1	1	0	43.5452
0.735071	1	1	0	43.5452
0.736071	1	1	0	43.5452
0.737071	1	1	0	43.5452
0.738071	1	1	0	43.5452
0.739071	1	1	0	43.5452
0.740071	1	1	0	43.5452
0.741071	1	1	0	43.5452
0.742071	1	1	0	43.5452
0.743071	1	1	0	43.5452
0.744071	1	1	0	43.5452
0.745071	1	1	0	43.5452
0.746071	1	1	0	43.5452
0.747071	1	1	0	43.5452
0.748071	1	1	0	43.5452
0.749071	1	1	0	43.5452
0.750071	1	1	0	43.5452
0.751071	1	1	0	43.5452
0.752071	1	1	0	43.5452
0.753071	1	1	0	43.5452
0.754071	1	1	0	43.5452
0.755071	1	1	0	43.5452
0.756071	1	1	0	43.5452
0.757071	1	1	0	43.5452
0.758071	1	1	0	43.5452
0.759071	1	1	0	43.5452
0.760071	1	1	0	43.5452
0.761071	1	1	0	43.5452
0.762071	1	1	0	43.5452
0.763071	1	1	0	43.5452
0.764071	1	1	0	43.5452
0.765071	1	1	0	43.5452
0.766071	1	1	0	43.5452
0.767071	1	1	0	43.5452
0.768071	1	1	0	43.5452
0.769071	1	1	0	43.5452
0.770071	1	1	0	43.5452
0.771071	1	1	0	43.5452
0.772071	1	1	0	43.5452
0.773071	1	1	0	43.5452
0.774071	1	1	0	43.5452
0.775071	1	1	0	43.5452
0.776071	1	1	0	43.5452
0.777071	1	1	0	43.5452
0.778071	1	1	0	43.5452
0.779071	1	1	0	43.5452
0.780071	1	1	0	43.5452
0.781071	1	1	0	43.5452
0.782071	1	1	0	43.5452
0.783071	1	1	0	43.5452
0.784071	1	1	0	43.5452
0.785071	1	1	0	43.5452
0.786071	1	1	0	43.5452
0.787071	1	1	0	43.5452
0.788071	1	1	0	43.5452
0.789071	1	1	0	43.5452
0.790071	1	1	0	43.5452
0.791071	1	1	0	43.5452
0.792071	1	1	0	43.5452
0.793071	1	1	0	43.5452
0.794071	1	1	0	43.5452
0.795071	1	1	0	43.5452
0.796071	1	1	0	43.5452
0.797071	1	1	0	43.5452
0.798071	1	1	0	43.5452
0.799071	1	1	0	43.5452
0.800071	1	1	0	43.5452
0.801071	1	1	0	43.5452
0.802071	1	1	0	43.5452
0.803071	1	1	0	43.5452
0.804071	1	1	0	43.5452
0.805071	1	1	0	43.5452
0.806071	1	1	0	43.5452
0.807071	1	1	0	43.5452
0.808071	1	1	0	43.5452
0.809071	1	1	0	43.5452
0.810071	1	1	0	43.5452
0.811071	1	1	0	43.5452
0.812071	1	1	0	43.5452
0.813071	1	1	0	43.5452
0.814071	1	1	0	43.5452
0.815071	1	1	0	43.5452
0.816071	1	1	0	43.5452
0.817071	1	1	0	53.7768
0.818071	1	1	0	53.7768
0.819071	1	1	0	53.7768
0.820071	1	1	0	53.7768
0.821071	1	1	0	53.7768
0.822071	1	1	0	53.7768
0.823071	1	1	0	53.7768
0.824071	1	1	0	53.7768
0.825071	1	1	0	53.7768
0.826071	1	1	0	53.7768
0.827071	1	1	0	53.7768
0.828071	1	1	0	53.7768
0.829071	1	1	0	53.7768
0.830071	1	1	0	53.7768
0.831071	1	1	0	53.7768
0.832071	1	1	0	53.7768
0.833071	1	1	0	53.7768
0.834071	1	1	0	53.7768
0.835071	1	1	0	53.7768
0.836071	1	1	0	53.7768
0.837071	1	1	0	53.7768
0.838071	1	1	0	53.7768
0.839071	1	1	0	53.7768
0.840071	1	1	0	53.7768
0.841071	1	1	0	53.7768
0.842071	1	1	0	53.7768
0.843071	1	1	0	53.7768
0.844071	1	1	0	53.7768
0.845071	1	1	0	53.7768
0.846071	1	1	0	53.7768
0.847071	1	1	0	53.7768
0.848071	1	1	0	53.7768
0.849071	1	1	0	53.7768
0.850071	1	1	0	53.7768
0.851071	1	1	0	53.7768
0.852071	1	1	0	53.7768
0.853071	1	1	0	53.7768
0.854071	1	1	0	53.7768
0.855071	1	1	0	53.7768
0.856071	1	1	0	53.7768
0.857071	1	1	0	53.7768
0.858071	1	1	0	53.7768
0.859071	1	1	0	53.7768
0.860071	1	1	0	53.7768
0.861071	1	1	0	53.7768
0.862071	1	1	0	53.7768
0.863071	1	1	0	53.7768
0.864071	1	1	0	53.7768
0.865071	1	1	0	53.7768
0.866071	1	1	0	53.7768
0.867071	1	1	0	53.7768
0.868071	1	1	0	53.7768
0.869071	1	1	0	53.7768
0.870071	1	1	0	53.7768
0.871071	1	1	0	53.7768
0.872071	1	1	0	53.7768
0.873071	1	1	0	53.7768
0.874071	1	1	0	53.7768
0.875071	1	1	0	53.7768
0.876071	1	1	0	53.7768
0.877071	1	1	0	53.7768
0.878071	1	1	0	53.7768
0.879071	1	1	0	53.7768
0.880071	1	1	0	53.7768
0.881071	1	1	0	53.7768
0.882071	1	1	0	53.7768
0.883071	1	1	0	53.7768
0.884071	1	1	0	53.7768
0.885071	1	1	0	53.7768
0.886071	1	1	0	53.7768
0.887071	1	1	0	53.7768
0.888071	1	1	0	53.7768
0.889071	1	1	0	53.7768
0.890071	1	1	0	53.7768
0.891071	1	1	0	53.7768
0.892071	1	1	0	53.7768
0.893071	1	1	0	53.7768
0.894071	1	1	0	53.7768
0.895071	1	1	0	53.7768
0.896071	1	1	0	53.7768
0.897071	1	1	0	53.7768
0.898071	1	1	0	53.7768
0.899071	1	1	0	53.7768
0.900071	1	1	0	53.7768
0.901071	1	1	0	53.7768
0.902071	1	1	0	53.7768
0.903071	1	1	0	53.7768
0.904071	1	1	0	53.7768
0.905071	1	1	0	53.7768
0.906071	1	1	0	53.7768
0.907071	1	1	0	53.7768
0.908071	1	1	0	53.7768
0.909071	1	1	0	53.7768
0.910071	1	1	0	53.7768
0.911071	1	1	0	53.7768
0.912071	1	1	0	53.7768
0.913071	1	1	0	53.7768
0.914071	1	1	0	53.7768
0.915071	1	1	0	53.7768
0.916071	1	1	0	53.7768
0.917071	1	1	0	35.4871
0.918071	1	1	0	35.4871
0.919071	1	1	0	35.4871
0.920071	1	1	0	35.4871
0.921071	1	1	0	35.4871
0.922071	1	1	0	35.4871
0.923071	1	1	0	35.4871
0.924071	1	1	0	35.4871
0.925071	1	1	0	35.4871
0.926071	1	1	0	35.4871
0.927071	1	1	0	35.4871
0.928071	1	1	0	35.4871
0.929071	1	1	0	35.4871
0.930071	1	1	0	35.4871
0.931071	1	1	0	35.4871
0.932071	1	1	0	35.4871
0.933071	1	1	0	35.4871
0.934071	1	1	0	35.4871
0.935071	1	1	0	35.4871
0.936071	1	1	0	35.4871
0.937071	1	1	0	35.4871
0.938071	1	1	0	35.4871
0.939071	1	1	0	35.4871
0.940071	1	1	0	35.4871
0.941071	1	1	0	35.4871
0.942071	1	1	0	35.4871
0.943071	1	1	0	35.4871
0.944071	1	1	0	35.4871
0.945071	1	1	0	35.4871
0.946071	1	1	0	35.4871
0.947071	1	1	0	35.4871
0.948071	1	1	0	35.4871
0.949071	1	1	0	35.4871
0.950071	1	1	0	35.4871
0.951071	1	1	0	35.4871
0.952071	1	1	0	35.4871
0.953071	1	1	0	35.4871
0.954071	1	1	0	35.4871
0.955071	1	1	0	35.4871
0.956071	1	1	0	35.4871
0.957071	1	1	0	35.4871
0.958071	1	1	0	35.4871
0.959071	1	1	0	35.4871
0.960071	1	1	0	35.4871
0.961071	1	1	0	35.4871
0.962071	1	1	0	35.4871
0.963071	1	1	0	35.4871
0.964071	1	1	0	35.4871
0.965071	1	1	0	35.4871
0.966071	1	1	0	35.4871
0.967071	1	1	0	35.4871
0.968071	1	1	0	35.4871
0.969071	1	1	0	35.4871
0.970071	1	1	0	35.4871
0.971071	1	1	0	35.4871
0.972071	1	1	0	35.4871
0.973071	1	1	0	35.4871
0.974071	1	1	0	35.4871
0.975071	1	1	0	35.4871
0.976071	1	1	0	35.4871
0.977071	1	1	0	35.4871
0.978071	1	1	0	35.4871
0.979071	1	1	0	35.4871
0.980071	1	1	0	35.4871
0.981071	1	1	0	35.4871
0.982071	1	1	0	35.4871
0.983071	1	1	0	35.4871
0.984071	1	1	0	35.4871
0.985071	1	1	0	35.4871
0.986071	1	1	0	35.4871
0.987071	1	1	0	35.4871
0.988071	1	1	0	35.4871
0.989071	1	1	0	35.4871
0.990071	1	1	0	35.4871
0.991071	1	1	0	35.4871
0.992071	1	1	0	35.4871
0.993071	1	1	0	35.4871
0.994071	1	1	0	35.4871
0.995071	1	1	0	35.4871
0.996071	1	1	0	35.4871
0.997071	1	1	0	35.4871
0.998071	1	1	0	35.4871
0.999071	1	1	0	35.4871
