time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.414029	1	2	5	130	0.0140286
0.514029	1	2	5	130	0.0140286
0.614029	1	2	5	130	0.0140286
0.714029	1	2	5	130	0.0140286
0.814029	1	2	5	130	0.0140286
0.914029	1	2	5	130	0.0140286
1.01403	1	2	5	130	0.0140286
1.11403	1	2	5	130	0.0140286
1.21403	1	2	5	130	0.0140286
1.31403	1	2	5	130	0.0140286
1.41403	1	2	5	130	0.0140286
1.51403	1	2	5	130	0.0140286
1.61403	1	2	5	130	0.0140286
1.71403	1	2	5	130	0.0140286
1.81896	1	2	5	130	0.0189571
1.91403	1	2	5	130	0.0140286
