% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.486	1	0	0	1	48	8	0	1	12	15	1	0	0	836
0.487	1	0	0	1	48	9	0	1	12	14	1	0	0	836
0.488	1	0	0	1	49	0	0	1	12	13	1	0	0	836
0.489	1	0	0	1	49	1	0	1	12	12	1	0	0	836
0.49	1	0	0	1	49	2	0	1	12	11	1	0	0	836
0.491	1	0	0	1	49	3	0	1	12	15	1	0	0	836
0.492	1	0	0	1	49	4	0	1	12	14	1	0	0	836
0.493	1	0	0	1	49	5	0	1	12	13	1	0	0	836
0.494	1	0	0	1	49	6	0	1	12	12	1	0	0	836
0.495	1	0	0	1	49	7	0	1	12	11	1	0	0	836
0.496	1	0	0	1	49	8	0	1	12	15	1	0	0	836
0.497	1	0	0	1	49	9	0	1	12	14	1	0	0	836
0.498	1	0	0	1	50	0	0	1	12	13	1	0	0	836
0.499	1	0	0	1	50	1	0	1	12	12	1	0	0	836
0.5	1	0	0	1	50	2	0	1	12	11	1	0	0	836
0.501	1	0	0	1	50	3	0	1	12	15	1	0	0	836
0.502	1	0	0	1	50	4	0	1	12	14	1	0	0	836
0.503	1	0	0	1	50	5	0	1	12	13	1	0	0	836
0.504	1	0	0	1	50	6	0	1	12	12	1	0	0	836
0.505	1	0	0	1	50	7	0	1	12	11	1	0	0	836
0.506	1	0	0	1	50	8	0	1	12	15	1	0	0	836
0.507	1	0	0	1	50	9	0	1	12	14	1	0	0	836
0.508	1	0	0	1	51	0	0	1	12	13	1	0	0	836
0.509	1	0	0	1	51	1	0	1	12	12	1	0	0	836
0.51	1	0	0	1	51	2	0	1	12	11	1	0	0	836
0.511	1	0	0	1	51	3	0	1	12	15	1	0	0	836
0.512	1	0	0	1	51	4	0	1	12	14	1	0	0	836
0.513	1	0	0	1	51	5	0	1	12	13	1	0	0	836
0.514	1	0	0	1	51	6	0	1	12	12	1	0	0	836
0.515	1	0	0	1	51	7	0	1	12	11	1	0	0	836
0.516	1	0	0	1	51	8	0	1	12	15	1	0	0	836
0.517	1	0	0	1	51	9	0	1	12	14	1	0	0	836
0.518	1	0	0	1	52	0	0	1	12	13	1	0	0	836
0.519	1	0	0	1	52	1	0	1	12	12	1	0	0	836
0.52	1	0	0	1	52	2	0	1	12	11	1	0	0	836
0.521	1	0	0	1	52	3	0	1	12	15	1	0	0	836
0.522	1	0	0	1	52	4	0	1	12	14	1	0	0	836
0.523	1	0	0	1	52	5	0	1	12	13	1	0	0	836
0.524	1	0	0	1	52	6	0	1	12	12	1	0	0	836
0.525	1	0	0	1	52	7	0	1	12	11	1	0	0	836
0.526	1	0	0	1	52	8	0	1	12	15	1	0	0	836
0.527	1	0	0	1	52	9	0	1	12	14	1	0	0	836
0.528	1	0	0	1	53	0	0	1	12	13	1	0	0	836
0.529	1	0	0	1	53	1	0	1	12	12	1	0	0	836
0.53	1	0	0	1	53	2	0	1	12	11	1	0	0	836
0.531	1	0	0	1	53	3	0	1	12	15	1	0	0	836
0.532	1	0	0	1	53	4	0	1	12	14	1	0	0	836
0.533	1	0	0	1	53	5	0	1	12	13	1	0	0	836
0.534	1	0	0	1	53	6	0	1	12	12	1	0	0	836
0.535	1	0	0	1	53	7	0	1	12	11	1	0	0	836
0.536	1	0	0	1	53	8	0	1	11	15	1	0	0	766
0.537	1	0	0	1	53	9	0	1	12	14	1	0	0	836
0.538	1	0	0	1	54	0	0	1	12	13	1	0	0	836
0.539	1	0	0	1	54	1	0	1	12	12	1	0	0	836
0.54	1	0	0	1	54	2	0	1	12	11	1	0	0	836
0.541	1	0	0	1	54	3	0	1	12	15	1	0	0	836
0.542	1	0	0	1	54	4	0	1	12	14	1	0	0	836
0.543	1	0	0	1	54	5	0	1	12	13	1	0	0	836
0.544	1	0	0	1	54	6	0	1	12	12	1	0	0	836
0.545	1	0	0	1	54	7	0	1	12	11	1	0	0	836
0.546	1	0	0	1	54	8	0	1	12	15	1	0	0	836
0.547	1	0	0	1	54	9	0	1	12	14	1	0	0	836
0.548	1	0	0	1	55	0	0	1	12	13	1	0	0	836
0.549	1	0	0	1	55	1	0	1	12	12	1	0	0	836
0.55	1	0	0	1	55	2	0	1	12	11	1	0	0	836
0.551	1	0	0	1	55	3	0	1	12	15	1	0	0	836
0.552	1	0	0	1	55	4	0	1	12	14	1	0	0	836
0.553	1	0	0	1	55	5	0	1	12	13	1	0	0	836
0.554	1	0	0	1	55	6	0	1	12	12	1	0	0	836
0.555	1	0	0	1	55	7	0	1	12	11	1	0	0	836
0.556	1	0	0	1	55	8	0	1	12	15	1	0	0	836
0.557	1	0	0	1	55	9	0	1	12	14	1	0	0	836
0.558	1	0	0	1	56	0	0	1	12	13	1	0	0	836
0.559	1	0	0	1	56	1	0	1	12	12	1	0	0	836
0.56	1	0	0	1	56	2	0	1	12	11	1	0	0	836
0.561	1	0	0	1	56	3	0	1	12	15	1	0	0	836
0.562	1	0	0	1	56	4	0	1	12	14	1	0	0	836
0.563	1	0	0	1	56	5	0	1	12	13	1	0	0	836
0.564	1	0	0	1	56	6	0	1	12	12	1	0	0	836
0.565	1	0	0	1	56	7	0	1	12	11	1	0	0	836
0.566	1	0	0	1	56	8	0	1	12	15	1	0	0	836
0.567	1	0	0	1	56	9	0	1	12	14	1	0	0	836
0.568	1	0	0	1	57	0	0	1	12	13	1	0	0	836
0.569	1	0	0	1	57	1	0	1	12	12	1	0	0	836
0.57	1	0	0	1	57	2	0	1	12	11	1	0	0	836
0.571	1	0	0	1	57	3	0	1	12	15	1	0	0	836
0.572	1	0	0	1	57	4	0	1	12	14	1	0	0	836
0.573	1	0	0	1	57	5	0	1	12	13	1	0	0	836
0.574	1	0	0	1	57	6	0	1	12	12	1	0	0	836
0.575	1	0	0	1	57	7	0	1	12	11	1	0	0	836
0.576	1	0	0	1	57	8	0	1	12	15	1	0	0	836
0.577	1	0	0	1	57	9	0	1	12	14	1	0	0	836
0.578	1	0	0	1	58	0	0	1	12	13	1	0	0	836
0.579	1	0	0	1	58	1	0	1	12	12	1	0	0	836
0.58	1	0	0	1	58	2	0	1	12	11	1	0	0	836
0.581	1	0	0	1	58	3	0	1	12	15	1	0	0	836
0.582	1	0	0	1	58	4	0	1	12	14	1	0	0	836
0.583	1	0	0	1	58	5	0	1	12	13	1	0	0	836
0.584	1	0	0	1	58	6	0	1	12	12	1	0	0	836
0.585	1	0	0	1	58	7	0	1	12	11	1	0	0	836
0.586	1	0	0	1	58	8	0	1	12	15	1	0	0	836
0.587	1	0	0	1	58	9	0	1	12	14	1	0	0	836
0.588	1	0	0	1	59	0	0	1	12	13	1	0	0	836
0.589	1	0	0	1	59	1	0	1	12	12	1	0	0	836
0.59	1	0	0	1	59	2	0	1	12	11	1	0	0	836
0.591	1	0	0	1	59	3	0	1	12	15	1	0	0	836
0.592	1	0	0	1	59	4	0	1	12	14	1	0	0	836
0.593	1	0	0	1	59	5	0	1	12	13	1	0	0	836
0.594	1	0	0	1	59	6	0	1	12	12	1	0	0	836
0.595	1	0	0	1	59	7	0	1	12	11	1	0	0	836
0.596	1	0	0	1	59	8	0	1	12	15	1	0	0	836
0.597	1	0	0	1	59	9	0	1	12	14	1	0	0	836
0.598	1	0	0	1	60	0	0	1	12	13	1	0	0	836
0.599	1	0	0	1	60	1	0	1	12	12	1	0	0	836
0.6	1	0	0	1	60	2	0	1	12	11	1	0	0	836
0.601	1	0	0	1	60	3	0	1	12	15	1	0	0	836
0.602	1	0	0	1	60	4	0	1	12	14	1	0	0	836
0.603	1	0	0	1	60	5	0	1	12	13	1	0	0	836
0.604	1	0	0	1	60	6	0	1	12	12	1	0	0	836
0.605	1	0	0	1	60	7	0	1	12	11	1	0	0	836
0.606	1	0	0	1	60	8	0	1	12	15	1	0	0	836
0.607	1	0	0	1	60	9	0	1	12	14	1	0	0	836
0.608	1	0	0	1	61	0	0	1	12	13	1	0	0	836
0.609	1	0	0	1	61	1	0	1	12	12	1	0	0	836
0.61	1	0	0	1	61	2	0	1	12	11	1	0	0	836
0.611	1	0	0	1	61	3	0	1	12	15	1	0	0	836
0.612	1	0	0	1	61	4	0	1	12	14	1	0	0	836
0.613	1	0	0	1	61	5	0	1	12	13	1	0	0	836
0.614	1	0	0	1	61	6	0	1	12	12	1	0	0	836
0.615	1	0	0	1	61	7	0	1	12	11	1	0	0	836
0.616	1	0	0	1	61	8	0	1	11	15	1	0	0	766
0.617	1	0	0	1	61	9	0	1	12	14	1	0	0	836
0.618	1	0	0	1	62	0	0	1	12	13	1	0	0	836
0.619	1	0	0	1	62	1	0	1	12	12	1	0	0	836
0.62	1	0	0	1	62	2	0	1	12	11	1	0	0	836
0.621	1	0	0	1	62	3	0	1	12	15	1	0	0	836
0.622	1	0	0	1	62	4	0	1	12	14	1	0	0	836
0.623	1	0	0	1	62	5	0	1	12	13	1	0	0	836
0.624	1	0	0	1	62	6	0	1	12	12	1	0	0	836
0.625	1	0	0	1	62	7	0	1	12	11	1	0	0	836
0.626	1	0	0	1	62	8	0	1	12	15	1	0	0	836
0.627	1	0	0	1	62	9	0	1	12	14	1	0	0	836
0.628	1	0	0	1	63	0	0	1	12	13	1	0	0	836
0.629	1	0	0	1	63	1	0	1	12	12	1	0	0	836
0.63	1	0	0	1	63	2	0	1	12	11	1	0	0	836
0.631	1	0	0	1	63	3	0	1	12	15	1	0	0	836
0.632	1	0	0	1	63	4	0	1	12	14	1	0	0	836
0.633	1	0	0	1	63	5	0	1	12	13	1	0	0	836
0.634	1	0	0	1	63	6	0	1	12	12	1	0	0	836
0.635	1	0	0	1	63	7	0	1	12	11	1	0	0	836
0.636	1	0	0	1	63	8	0	1	12	15	1	0	0	836
0.637	1	0	0	1	63	9	0	1	12	14	1	0	0	836
0.638	1	0	0	1	64	0	0	1	12	13	1	0	0	836
0.639	1	0	0	1	64	1	0	1	12	12	1	0	0	836
0.64	1	0	0	1	64	2	0	1	12	11	1	0	0	836
0.641	1	0	0	1	64	3	0	1	12	15	1	0	0	836
0.642	1	0	0	1	64	4	0	1	12	14	1	0	0	836
0.643	1	0	0	1	64	5	0	1	12	13	1	0	0	836
0.644	1	0	0	1	64	6	0	1	12	12	1	0	0	836
0.645	1	0	0	1	64	7	0	1	12	11	1	0	0	836
0.646	1	0	0	1	64	8	0	1	12	15	1	0	0	836
0.647	1	0	0	1	64	9	0	1	12	14	1	0	0	836
0.648	1	0	0	1	65	0	0	1	12	13	1	0	0	836
0.649	1	0	0	1	65	1	0	1	12	12	1	0	0	836
0.65	1	0	0	1	65	2	0	1	12	11	1	0	0	836
0.651	1	0	0	1	65	3	0	1	12	15	1	0	0	836
0.652	1	0	0	1	65	4	0	1	12	14	1	0	0	836
0.653	1	0	0	1	65	5	0	1	12	13	1	0	0	836
0.654	1	0	0	1	65	6	0	1	12	12	1	0	0	836
0.655	1	0	0	1	65	7	0	1	12	11	1	0	0	836
0.656	1	0	0	1	65	8	0	1	12	15	1	0	0	836
0.657	1	0	0	1	65	9	0	1	12	14	1	0	0	836
0.658	1	0	0	1	66	0	0	1	12	13	1	0	0	836
0.659	1	0	0	1	66	1	0	1	12	12	1	0	0	836
0.66	1	0	0	1	66	2	0	1	12	11	1	0	0	836
0.661	1	0	0	1	66	3	0	1	12	15	1	0	0	836
0.662	1	0	0	1	66	4	0	1	12	14	1	0	0	836
0.663	1	0	0	1	66	5	0	1	12	13	1	0	0	836
0.664	1	0	0	1	66	6	0	1	12	12	1	0	0	836
0.665	1	0	0	1	66	7	0	1	12	11	1	0	0	836
0.666	1	0	0	1	66	8	0	1	12	15	1	0	0	836
0.667	1	0	0	1	66	9	0	1	12	14	1	0	0	836
0.668	1	0	0	1	67	0	0	1	12	13	1	0	0	836
