time(s)	cellId	rnti	lcid	packetSize
0.862	1	1	4	833
0.863	1	1	4	833
0.864	1	1	4	833
0.865	1	1	4	833
0.866	1	1	4	833
0.867	1	1	4	833
0.868	1	1	4	833
0.869	1	1	4	833
0.87	1	1	4	833
0.871	1	1	4	833
0.872	1	1	4	833
0.873	1	1	4	833
0.874	1	1	4	833
0.875	1	1	4	833
0.876	1	1	4	833
0.877	1	1	4	833
0.878	1	1	4	833
0.879	1	1	4	833
0.88	1	1	4	833
0.881	1	1	4	833
0.882	1	1	4	833
0.883	1	1	4	833
0.884	1	1	4	833
0.885	1	1	4	833
0.886	1	1	4	833
0.887	1	1	4	833
0.888	1	1	4	833
0.889	1	1	4	833
0.89	1	1	4	833
0.891	1	1	4	833
0.892	1	1	4	833
0.893	1	1	4	833
0.894	1	1	4	833
0.895	1	1	4	833
0.896	1	1	4	833
0.897	1	1	4	833
0.898	1	1	4	833
0.899	1	1	4	833
0.9	1	1	4	833
0.901	1	1	4	833
0.902	1	1	4	833
0.903	1	1	4	833
0.904	1	1	4	833
0.905	1	1	4	833
0.906	1	1	4	833
0.907	1	1	4	833
0.908	1	1	4	833
0.909	1	1	4	833
0.91	1	1	4	833
0.911	1	1	4	833
0.912	1	1	4	833
0.913	1	1	4	833
0.914	1	1	4	833
0.915	1	1	4	833
0.916	1	1	4	833
0.917	1	1	4	833
0.918	1	1	4	833
0.919	1	1	4	833
0.92	1	1	4	833
0.921	1	1	4	833
0.922	1	1	4	833
0.923	1	1	4	833
0.924	1	1	4	833
0.925	1	1	4	833
0.926	1	1	4	833
0.927	1	1	4	833
0.928	1	1	4	833
0.929	1	1	4	833
0.93	1	1	4	833
0.931	1	1	4	833
0.932	1	1	4	833
0.933	1	1	4	833
0.934	1	1	4	833
0.935	1	1	4	833
0.936	1	1	4	763
0.937	1	1	4	833
0.938	1	1	4	833
0.939	1	1	4	833
0.94	1	1	4	833
0.941	1	1	4	833
0.942	1	1	4	833
0.943	1	1	4	833
0.944	1	1	4	833
0.945	1	1	4	833
0.946	1	1	4	833
0.947	1	1	4	833
0.948	1	1	4	833
0.949	1	1	4	833
0.95	1	1	4	833
0.951	1	1	4	833
0.952	1	1	4	833
0.953	1	1	4	833
0.954	1	1	4	833
0.955	1	1	4	833
0.956	1	1	4	833
0.957	1	1	4	833
0.958	1	1	4	833
0.959	1	1	4	833
0.96	1	1	4	833
0.961	1	1	4	833
0.962	1	1	4	833
0.963	1	1	4	833
0.964	1	1	4	833
0.965	1	1	4	833
0.966	1	1	4	833
0.967	1	1	4	833
0.968	1	1	4	833
0.969	1	1	4	833
0.97	1	1	4	833
0.971	1	1	4	833
0.972	1	1	4	833
0.973	1	1	4	833
0.974	1	1	4	833
0.975	1	1	4	833
0.976	1	1	4	833
0.977	1	1	4	833
0.978	1	1	4	833
0.979	1	1	4	833
0.98	1	1	4	833
0.981	1	1	4	833
0.982	1	1	4	833
