time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.583029	1	1	4	1030	0.177387
0.584029	1	1	4	1030	0.178347
0.586029	1	1	4	1030	0.180307
0.587029	1	1	4	1030	0.181267
0.588029	1	1	4	1030	0.182227
0.589029	1	1	4	1030	0.183187
0.590029	1	1	4	1030	0.184147
0.592029	1	1	4	1030	0.186107
0.593029	1	1	4	1030	0.187067
0.594029	1	1	4	1030	0.188027
0.595029	1	1	4	1030	0.188987
0.597029	1	1	4	1030	0.190947
0.598029	1	1	4	1030	0.191907
0.599029	1	1	4	1030	0.192867
0.600029	1	1	4	1030	0.193827
0.602029	1	1	4	1030	0.195787
0.603029	1	1	4	1030	0.196747
0.604029	1	1	4	1030	0.197707
0.605029	1	1	4	1030	0.198667
0.607029	1	1	4	1030	0.200627
0.608029	1	1	4	1030	0.201587
0.609029	1	1	4	1030	0.202547
0.610029	1	1	4	1030	0.203507
0.612029	1	1	4	1030	0.205467
0.613029	1	1	4	1030	0.206427
0.614029	1	1	4	1030	0.207387
0.615029	1	1	4	1030	0.208347
0.617029	1	1	4	1030	0.210307
0.618029	1	1	4	1030	0.211267
0.618957	1	1	4	1030	0.212155
0.620029	1	1	4	1030	0.213187
0.622029	1	1	4	1030	0.215147
0.623029	1	1	4	1030	0.216107
0.624029	1	1	4	1030	0.217067
0.625029	1	1	4	1030	0.218027
0.627029	1	1	4	1030	0.219987
0.628029	1	1	4	1030	0.220947
0.629029	1	1	4	1030	0.221907
0.630029	1	1	4	1030	0.222867
0.632029	1	1	4	1030	0.224827
0.633029	1	1	4	1030	0.225787
0.634029	1	1	4	1030	0.226747
0.635029	1	1	4	1030	0.227707
0.637029	1	1	4	1030	0.229667
0.638029	1	1	4	1030	0.230627
0.639029	1	1	4	1030	0.231587
0.640029	1	1	4	1030	0.232547
0.641029	1	1	4	1030	0.233507
0.643029	1	1	4	1030	0.235467
0.644029	1	1	4	1030	0.236427
0.645029	1	1	4	1030	0.237387
0.646029	1	1	4	1030	0.238347
0.648029	1	1	4	1030	0.240307
0.649029	1	1	4	1030	0.241267
0.650029	1	1	4	1030	0.242227
0.651029	1	1	4	1030	0.243187
0.653029	1	1	4	1030	0.245147
0.654029	1	1	4	1030	0.246107
0.655029	1	1	4	1030	0.247067
0.656029	1	1	4	1030	0.248027
0.658029	1	1	4	1030	0.249987
0.659029	1	1	4	1030	0.250947
0.660029	1	1	4	1030	0.251907
0.661029	1	1	4	1030	0.252867
0.663029	1	1	4	1030	0.254827
0.664029	1	1	4	1030	0.255787
0.665029	1	1	4	1030	0.256747
0.666029	1	1	4	1030	0.257707
0.668029	1	1	4	1030	0.259667
0.669029	1	1	4	1030	0.260627
0.670029	1	1	4	1030	0.261587
0.671029	1	1	4	1030	0.262547
