Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.472929	DL	47	2	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.473929	DL	47	3	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.474929	DL	47	4	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.475929	DL	47	5	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.476929	DL	47	6	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.477929	DL	47	7	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.478929	DL	47	8	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.479929	DL	47	9	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.480929	DL	48	0	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.481929	DL	48	1	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.482929	DL	48	2	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.483929	DL	48	3	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.484929	DL	48	4	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.485929	DL	48	5	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.486929	DL	48	6	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.487929	DL	48	7	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.488929	DL	48	8	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.489929	DL	48	9	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.490929	DL	49	0	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.491929	DL	49	1	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.492929	DL	49	2	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.493929	DL	49	3	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.494929	DL	49	4	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.495929	DL	49	5	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.496929	DL	49	6	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.497929	DL	49	7	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.498929	DL	49	8	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.499929	DL	49	9	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.500929	DL	50	0	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.501929	DL	50	1	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.502929	DL	50	2	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.503929	DL	50	3	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.504929	DL	50	4	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.505929	DL	50	5	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
