time(s)	cellId	rnti	lcid	packetSize
0.400002	1	1	4	1030
0.400042	1	1	4	1030
0.400082	1	1	4	1030
0.400122	1	1	4	1030
0.400162	1	1	4	1030
0.400202	1	1	4	1030
0.400242	1	1	4	1030
0.400282	1	1	4	1030
0.400322	1	1	4	1030
0.400362	1	1	4	1030
0.400402	1	1	4	1030
0.400442	1	1	4	1030
0.400482	1	1	4	1030
0.400522	1	1	4	1030
0.400562	1	1	4	1030
0.400602	1	1	4	1030
0.400642	1	1	4	1030
0.400682	1	1	4	1030
0.400722	1	1	4	1030
0.400762	1	1	4	1030
0.400802	1	1	4	1030
0.400842	1	1	4	1030
0.400882	1	1	4	1030
0.400922	1	1	4	1030
0.400962	1	1	4	1030
0.401002	1	1	4	1030
0.401042	1	1	4	1030
0.401082	1	1	4	1030
0.401122	1	1	4	1030
0.401162	1	1	4	1030
0.401202	1	1	4	1030
0.401242	1	1	4	1030
0.401282	1	1	4	1030
0.401322	1	1	4	1030
0.401362	1	1	4	1030
0.401402	1	1	4	1030
0.401442	1	1	4	1030
0.401482	1	1	4	1030
0.401522	1	1	4	1030
0.401562	1	1	4	1030
0.401602	1	1	4	1030
0.401642	1	1	4	1030
0.401682	1	1	4	1030
0.401722	1	1	4	1030
0.401762	1	1	4	1030
0.401802	1	1	4	1030
0.401842	1	1	4	1030
0.401882	1	1	4	1030
0.401922	1	1	4	1030
0.401962	1	1	4	1030
0.402002	1	1	4	1030
0.402042	1	1	4	1030
0.402082	1	1	4	1030
0.402122	1	1	4	1030
0.402162	1	1	4	1030
0.402202	1	1	4	1030
0.402242	1	1	4	1030
0.402282	1	1	4	1030
0.402322	1	1	4	1030
0.402362	1	1	4	1030
0.402402	1	1	4	1030
0.402442	1	1	4	1030
0.402482	1	1	4	1030
0.402522	1	1	4	1030
0.402562	1	1	4	1030
0.402602	1	1	4	1030
0.402642	1	1	4	1030
0.402682	1	1	4	1030
0.402722	1	1	4	1030
0.402762	1	1	4	1030
0.402802	1	1	4	1030
0.402842	1	1	4	1030
0.402882	1	1	4	1030
0.402922	1	1	4	1030
0.402962	1	1	4	1030
0.403002	1	1	4	1030
0.403042	1	1	4	1030
0.403082	1	1	4	1030
0.403122	1	1	4	1030
0.403162	1	1	4	1030
0.403202	1	1	4	1030
0.403242	1	1	4	1030
0.403282	1	1	4	1030
0.403322	1	1	4	1030
0.403362	1	1	4	1030
0.403402	1	1	4	1030
0.403442	1	1	4	1030
0.403482	1	1	4	1030
0.403522	1	1	4	1030
0.403562	1	1	4	1030
0.403602	1	1	4	1030
0.403642	1	1	4	1030
0.403682	1	1	4	1030
0.403722	1	1	4	1030
0.403762	1	1	4	1030
0.403802	1	1	4	1030
0.403842	1	1	4	1030
0.403882	1	1	4	1030
0.403922	1	1	4	1030
0.403962	1	1	4	1030
0.404002	1	1	4	1030
0.404042	1	1	4	1030
0.404082	1	1	4	1030
0.404122	1	1	4	1030
0.404162	1	1	4	1030
0.404202	1	1	4	1030
0.404242	1	1	4	1030
0.404282	1	1	4	1030
0.404322	1	1	4	1030
0.404362	1	1	4	1030
0.404402	1	1	4	1030
0.404442	1	1	4	1030
0.404482	1	1	4	1030
0.404522	1	1	4	1030
0.404562	1	1	4	1030
0.404602	1	1	4	1030
0.404642	1	1	4	1030
0.404682	1	1	4	1030
0.404722	1	1	4	1030
0.404762	1	1	4	1030
0.404802	1	1	4	1030
0.404842	1	1	4	1030
0.404882	1	1	4	1030
0.404922	1	1	4	1030
0.404962	1	1	4	1030
0.405002	1	1	4	1030
0.405042	1	1	4	1030
0.405082	1	1	4	1030
0.405122	1	1	4	1030
0.405162	1	1	4	1030
0.405202	1	1	4	1030
0.405242	1	1	4	1030
0.405282	1	1	4	1030
0.405322	1	1	4	1030
0.405362	1	1	4	1030
0.405402	1	1	4	1030
0.405442	1	1	4	1030
0.405482	1	1	4	1030
0.405522	1	1	4	1030
0.405562	1	1	4	1030
0.405602	1	1	4	1030
0.405642	1	1	4	1030
0.405682	1	1	4	1030
0.405722	1	1	4	1030
0.405762	1	1	4	1030
0.405802	1	1	4	1030
0.405842	1	1	4	1030
0.405882	1	1	4	1030
0.405922	1	1	4	1030
0.405962	1	1	4	1030
0.406002	1	1	4	1030
0.406042	1	1	4	1030
0.406082	1	1	4	1030
0.406122	1	1	4	1030
0.406162	1	1	4	1030
0.406202	1	1	4	1030
0.406242	1	1	4	1030
0.406282	1	1	4	1030
0.406322	1	1	4	1030
0.406362	1	1	4	1030
0.406402	1	1	4	1030
